topic_id,global_score,topic_observations,dt,mt,maxm,minm,stdm,avgm,top_phrases,phrase_count_shown,num_dipoles,analyzer_rows,top_dipoles,top_labels,avg_pi,max_pi,sum_obs_in_analyzer,max_obs_in_analyzer,candidate_narrative,relevant_to_disinformation,notes
t506014,13.055267702936098,7559,386,0.6666666666666667,1.0,0.0,0.2588981653260615,0.6114073744019428,Tuesday | Tuesday(23 | Monday | a Monday | More MONDAY | (Monday | Wednesday | (Wednesday | WEDNESDAY | More WEDNESDAY,10,386,386,D179_910 (1) | D17_179 (1) | D2_171 (1) | D40_54 (1) | D122_910 (1),Polarization6 (59) | Polarization9 (55) | Polarization8 (54) | Polarization5 (45) | Polarization7 (42),0.6114073744019428,1.0,7559,81,,,
t398720,12.606060606060606,39,3,0.9696969696969696,1.0,0.5294117647058822,0.21505105920244,0.8330362448009506,These ads | the ad | Those ads | an ad | ads | this ad | no ads | its ads | the 10 ads | The ad,10,3,3,D45_910 (1) | D54_59 (1) | D59_177 (1),Polarization0 (1) | Polarization10 (1) | Polarization6 (1),0.8330362448009506,1.0,39,19,,,
t774039,12.32142857142857,276,16,0.7142857142857142,1.0,0.0,0.4459099169712285,0.5372023809523809,our health | her health | health | my health | The health | the health | His health | Health | their health | his health,10,16,16,D6_38 (1) | D182_910 (1) | D6_908 (1) | D20_38 (1) | D19_910 (1),Polarization0 (6) | Polarization1 (5) | Polarization9 (2) | Polarization2 (2) | Polarization6 (1),0.5372023809523809,1.0,276,196,,,
t639823,11.732142857142856,5256,256,0.5714285714285714,1.0,0.0,0.2785963588079812,0.564150861688229,36 seconds | 34 seconds | a second | the second | 48.17 seconds | more than 10 seconds | .005 seconds | only 15 seconds | 9.784 seconds | 50.65 seconds,10,256,256,D2_171 (1) | D40_54 (1) | D2_27 (1) | D68_911 (1) | D24_87 (1),Polarization7 (36) | Polarization6 (35) | Polarization5 (31) | Polarization9 (30) | Polarization8 (27),0.564150861688229,1.0,5256,85,,,
t463041,11.500000000000002,345,20,0.6666666666666667,1.0,0.1818181818181818,0.2159652186624494,0.6271583685132072,provocation | provocations | any provocation | such provocations | a provocation | the provocation | no provocation | no real provocations | public provocation | public provocations,10,20,20,D45_90 (1) | D45_576 (1) | D10_45 (1) | D21_45 (1) | D38_45 (1),Polarization6 (5) | Polarization7 (4) | Polarization9 (3) | Polarization4 (2) | Polarization0 (2),0.6271583685132072,1.0,345,33,,,
t926141,11.447901474639442,7100,374,0.603030303030303,1.0,0.0,0.2843805820973394,0.57000460513469,us | the U.S. | /U | U.S. | The U.S. | (U.S. | our U.S. | u | the U.S | the U.S.A.,10,374,374,D179_910 (1) | D17_179 (1) | D2_171 (1) | D122_910 (1) | D2_27 (1),Polarization8 (58) | Polarization9 (50) | Polarization6 (44) | Polarization3 (40) | Polarization4 (35),0.57000460513469,1.0,7100,74,,,
t750651,11.407035175879397,7945,398,0.5714285714285714,1.0,0.0,0.2959964398349619,0.5469963089431681,teams | which team | our teams | the team | a team | both teams | his team | team | Team | A team,10,398,398,D179_910 (1) | D17_179 (1) | D334_910 (1) | D2_171 (1) | D40_54 (1),Polarization6 (57) | Polarization3 (52) | Polarization9 (50) | Polarization8 (48) | Polarization7 (46),0.546996308943168,1.0,7945,76,,,
t636401,11.241134056248654,1360,38,0.314090510395183,1.0,0.0,0.3033722505443945,0.3896096892514467,"a ""mockery | mockery | the mockery | the ""mockery | a mockery | Mockery | this mockery | No mockery | 'MOCKERY | a direct mockery",10,38,38,D45_90 (1) | D38_129 (1) | D38_659 (1) | D666_668 (1) | D59_125 (1),Polarization1 (8) | Polarization3 (6) | Polarization4 (6) | Polarization8 (5) | Polarization2 (4),0.38960968925144673,1.0,1360,97,,,
t159721,11.145925013201902,7915,437,0.6153846153846154,1.0,0.0,0.2575357681293395,0.606882217911166,that time | any time | all time | all times | a time | the time | time | Only time | her time | times,10,437,437,D2_171 (1) | D40_54 (1) | D122_910 (1) | D64_905 (1) | D2_27 (1),Polarization6 (69) | Polarization7 (62) | Polarization9 (61) | Polarization5 (58) | Polarization8 (46),0.606882217911166,1.0,7915,75,,,
t519550,11.061728395061728,7168,324,0.5,1.0,0.0,0.3156285349014154,0.4727480831756693,"31,984,972.8 people | 183,627 people | 120 people | Those people | 112,523 people | 71,986 people | 17,421,192.1579 people | all those people | more than 38,700 people | more than 140 people",10,324,324,D134_880 (1) | D334_910 (1) | D2_171 (1) | D122_910 (1) | D2_27 (1),Polarization1 (65) | Polarization6 (53) | Polarization7 (30) | Polarization5 (30) | Polarization8 (26),0.47274808317566935,1.0,7168,89,,,
t713190,10.80952380952381,7264,336,0.5,1.0,0.0,0.2791903632780708,0.4832644538988925,bronze | Bronze | the bronze | 22 bronze | a bronze | 18 bronze | the Bronze | her bronze | only a bronze | The bronze,10,336,336,D179_910 (1) | D17_179 (1) | D2_171 (1) | D40_54 (1) | D2_27 (1),Polarization3 (48) | Polarization6 (48) | Polarization4 (39) | Polarization7 (38) | Polarization8 (37),0.48326445389889255,1.0,7264,87,,,
t36112,10.705882352941176,56,4,0.7647058823529411,0.7647058823529411,0.0,0.3311273602705206,0.5735294117647058,"the duration | its duration | duration | this duration | another duration | Duration | "" ""duration | a duration | the entire duration | The full duration",10,4,4,D93_910 (1) | D21_30 (1) | D21_910 (1) | D90_910 (1),Polarization8 (3) | Polarization1 (1),0.5735294117647058,0.7647058823529411,56,18,,,
t459628,10.454135338345868,2607,133,0.5333333333333334,1.0,0.0,0.3861137938864851,0.4946868440554761,"the city | Which City | a city | the City | ""The City | 400 cities | the cities | cities | their city | both cities",10,133,133,D2_27 (1) | D9_44 (1) | D106_879 (1) | D2_184 (1) | D19_93 (1),Polarization1 (36) | Polarization0 (30) | Polarization7 (16) | Polarization3 (16) | Polarization6 (11),0.49468684405547614,1.0,2607,109,,,
t867452,9.7536231884058,65,4,0.6002229654403568,0.7083333333333333,0.3888888888888889,0.117335612707541,0.5744170382757339,"the BBC | The BBC | 2025 BBC | BBC | @BBC | bbc | BBC""It | BBC""I | the BBC.The man | BBC J&K",10,4,4,D43_56 (1) | D56_400 (1) | D56_94 (1) | D51_56 (1),Polarization4 (1) | Polarization7 (1) | Polarization8 (1) | Polarization6 (1),0.5744170382757339,0.7083333333333333,65,19,,,
t368821,9.212231968810917,5401,342,0.5833333333333333,1.0,0.0,0.2670603518950177,0.5676987161649408,"Competitors | competitors | other competitors | all competitors | any other competitors | Some competitors | my competitor | all my competitors | 60 competitors | up to 3,500 competitors",10,342,342,D179_910 (1) | D17_179 (1) | D2_171 (1) | D2_27 (1) | D54_748 (1),Polarization6 (52) | Polarization8 (51) | Polarization7 (44) | Polarization9 (40) | Polarization5 (35),0.5676987161649408,1.0,5401,73,,,
t793243,9.149650349650347,6542,390,0.5454545454545454,1.0,0.0,0.2920616415264902,0.5210577528244956,places | its place | place | their place | her place | The only place | the places | a place | the place | a few places,10,390,390,D179_910 (1) | D17_179 (1) | D2_171 (1) | D40_54 (1) | D122_910 (1),Polarization6 (76) | Polarization7 (55) | Polarization9 (46) | Polarization1 (44) | Polarization5 (29),0.5210577528244956,1.0,6542,81,,,
t221604,9.017746913580249,899,36,0.3611111111111111,1.0,0.0,0.2675858104329443,0.4514493017167957,the river | rivers | a river | The river | just any river | the RIVER | a RIVER | -river | river | the rivers,10,36,36,D6_38 (1) | D9_24 (1) | D20_38 (1) | D72_911 (1) | D20_171 (1),Polarization3 (9) | Polarization4 (7) | Polarization8 (5) | Polarization6 (4) | Polarization7 (3),0.45144930171679576,1.0,899,65,,,
t87,8.557133198106829,1130,85,0.6436781609195402,1.0,0.0,0.3256153119150901,0.5817517848363922,"X. | X | the X | an X | X,'Modi | an x | now X | , 10-x | both an X | x",10,85,85,D334_910 (1) | D2_184 (1) | D182_910 (1) | D32_45 (1) | D8_51 (1),Polarization4 (15) | Polarization7 (15) | Polarization0 (14) | Polarization10 (9) | Polarization1 (8),0.5817517848363922,1.0,1130,47,,,
t494351,8.427243243243245,2688,185,0.5800000000000001,1.0,0.0,0.3130269741850756,0.5307950203697925,the podium | a podium | podiums | The podium | the podiums | that podium | his podiums | podium | Each podium | this podium,10,185,185,D179_910 (1) | D17_179 (1) | D40_54 (1) | D64_905 (1) | D2_27 (1),Polarization1 (27) | Polarization7 (26) | Polarization9 (24) | Polarization3 (22) | Polarization6 (18),0.5307950203697925,1.0,2688,38,,,
t111946,8.396354166666667,987,64,0.5444444444444445,1.0,0.0,0.2904710588743477,0.5321608515104456,war | the war | 2021 wars | 2022 - wars | a war | wars | War | The war | this war | the wars,10,64,64,D134_880 (1) | D6_38 (1) | D19_93 (1) | D10_44 (1) | D29_398 (1),Polarization3 (10) | Polarization9 (8) | Polarization4 (8) | Polarization7 (8) | Polarization8 (8),0.5321608515104455,1.0,987,47,,,
t916391,8.19375,7866,320,0.3333333333333333,1.0,0.0,0.2658372007426503,0.3870604858147096,silver | 2 silver | a silver | the silver | That silver | 13 silvers | the Silver | silvers | more silvers | Silver,10,320,320,D2_171 (1) | D40_54 (1) | D2_27 (1) | D68_911 (1) | D24_87 (1),Polarization3 (53) | Polarization2 (50) | Polarization1 (44) | Polarization6 (42) | Polarization4 (40),0.3870604858147096,1.0,7866,79,,,
t168888,8.083333333333334,5432,336,0.5,1.0,0.0,0.3051769569843077,0.5032323536275912,part | any part | all part | A part | his part | a part | some parts | its part | Part | their parts,10,336,336,D134_880 (1) | D2_171 (1) | D64_905 (1) | D2_27 (1) | D68_911 (1),Polarization4 (64) | Polarization1 (44) | Polarization9 (42) | Polarization6 (34) | Polarization7 (33),0.5032323536275912,1.0,5432,78,,,
t515979,7.966494845360825,6182,388,0.5,1.0,0.0,0.3014675576058824,0.5048176097186752,my country | our country | as most countries | his country | the country | this country | countries | your country | the countries | 206 countries,10,388,388,D134_880 (1) | D2_171 (1) | D2_27 (1) | D68_911 (1) | D9_44 (1),Polarization4 (48) | Polarization1 (47) | Polarization6 (45) | Polarization7 (45) | Polarization3 (36),0.5048176097186752,1.0,6182,63,,,
t519773,7.914755867278122,4890,337,0.5454545454545454,1.0,0.0,0.2910099259001583,0.5368338943778359,the other day | days | the day | his day | each day | the days | day | Day | The day | their day,10,337,337,D2_171 (1) | D40_54 (1) | D122_910 (1) | D2_27 (1) | D54_748 (1),Polarization6 (52) | Polarization7 (44) | Polarization8 (43) | Polarization1 (37) | Polarization9 (32),0.5368338943778359,1.0,4890,62,,,
t8549,7.797101449275363,1883,147,0.6086956521739131,1.0,0.0,0.2856775458326427,0.5597667041210804,"500m | 500m. | the 1,500m | both the 500m | the 500m | 1,500m | the 1,500m. | both 500m | all her 1,500m | the 2,5000m",10,147,147,D2_171 (1) | D9_44 (1) | D10_44 (1) | D182_910 (1) | D16_60 (1),Polarization7 (27) | Polarization6 (20) | Polarization4 (19) | Polarization9 (18) | Polarization1 (14),0.5597667041210804,1.0,1883,46,,,
t862886,7.779286926994908,4582,310,0.5263157894736843,1.0,0.0,0.2811872639747892,0.5268634751146508,the only way | her way | the way | a way | ways | his way | their way | no way | some ways | this way,10,310,310,D179_910 (1) | D17_179 (1) | D40_54 (1) | D64_905 (1) | D2_27 (1),Polarization6 (64) | Polarization9 (36) | Polarization4 (34) | Polarization8 (31) | Polarization1 (29),0.5268634751146508,1.0,4582,53,,,
t867672,7.71263575605681,3414,266,0.600925925925926,1.0,0.0,0.3071911823708956,0.5548092490440559,28 years | the year | 32 years | 24 years | 16 years | 12 years | years | this year | 20 years | my 21 years,10,266,266,D64_905 (1) | D2_27 (1) | D68_911 (1) | D9_44 (1) | D6_38 (1),Polarization7 (37) | Polarization8 (36) | Polarization0 (33) | Polarization3 (32) | Polarization1 (32),0.5548092490440559,1.0,3414,46,,,
t789126,7.695075757575758,956,66,0.53125,1.0,0.0,0.3355517309531992,0.5413666347553346,their boxer | The boxer | a boxer | the boxers | Both boxers | A boxer | the boxer | the 10 boxers | boxers | the other boxers,10,66,66,D30_907 (1) | D3_908 (1) | D6_908 (1) | D5_7 (1) | D50_908 (1),Polarization6 (17) | Polarization1 (11) | Polarization0 (9) | Polarization8 (7) | Polarization10 (5),0.5413666347553346,1.0,956,57,,,
t626105,7.568812140240711,3616,273,0.5714285714285714,1.0,0.0,0.2893080406506746,0.5765780907664846,The semifinal round | the semifinal round | the quarterfinal round | then quarterfinal and final rounds | the quarterfinal stage | their quarterfinal game | your semifinal qualifiers | the semifinal game | their quarterfinal match | the quarterfinal match,10,273,273,D179_910 (1) | D17_179 (1) | D40_54 (1) | D64_905 (1) | D68_911 (1),Polarization6 (48) | Polarization9 (30) | Polarization4 (29) | Polarization8 (27) | Polarization0 (27),0.5765780907664846,1.0,3616,74,,,
t102098,7.421495327102805,2647,214,0.6000000000000001,1.0,0.0,0.2540700576290492,0.5784660889331493,the World Championships | a major world tournament | the 2023 World Championships | the 2022 World Championships | the 2005 World Championships | the 2022 and 2023 World Championships | the same 2023 World Championships | the 2019 World Championships | the 2013 World Championships | the 2023 world championships,10,214,214,D2_171 (1) | D68_911 (1) | D24_87 (1) | D9_44 (1) | D2_184 (1),Polarization7 (49) | Polarization6 (40) | Polarization4 (35) | Polarization9 (25) | Polarization0 (16),0.5784660889331493,1.0,2647,42,,,
t144248,7.202797202797203,103,13,0.9090909090909092,1.0,0.0,0.4625561343008777,0.5384615384615384,Corruption | corruption | the corruption | political corruption | the moral corruption | these corrupting influences | corruption scandals | corruption inquiries | large-scale corruption,9,13,13,D6_492 (1) | D72_911 (1) | D492_910 (1) | D6_72 (1) | D6_52 (1),Polarization1 (6) | Polarization0 (4) | Polarization10 (3),0.5384615384615384,1.0,103,15,,,
t22840,7.039047619047619,389,35,0.6333333333333334,1.0,0.0,0.3984556420847302,0.5203725362789691,investigation | the investigation | The investigation | any investigation | Investigation | their investigations | the investigations | its investigation | that investigation | An investigation,10,35,35,D122_910 (1) | D2_27 (1) | D2_184 (1) | D10_44 (1) | D64_355 (1),Polarization0 (9) | Polarization2 (7) | Polarization1 (7) | Polarization8 (6) | Polarization9 (2),0.5203725362789691,1.0,389,57,,,
t342362,7.0176211453744495,3186,227,0.5,1.0,0.0,0.3278977216674337,0.5061343471833187,"all the fans | fans | the fans | his fans | my fans | 92,003 fans | her fans | other fans | a fan | some fans",10,227,227,D334_910 (1) | D30_907 (1) | D24_87 (1) | D9_44 (1) | D93_186 (1),Polarization1 (37) | Polarization6 (29) | Polarization5 (22) | Polarization0 (22) | Polarization8 (21),0.5061343471833187,1.0,3186,51,,,
t561258,7.0,3108,222,0.5,1.0,0.0,0.3235383917695732,0.4822159211446382,"the women | a woman | women | that woman | A ""woman | the woman | the other women | more than 400 women | all women | A woman",10,222,222,D334_910 (1) | D40_54 (1) | D122_910 (1) | D24_87 (1) | D9_44 (1),Polarization1 (40) | Polarization6 (39) | Polarization7 (24) | Polarization9 (22) | Polarization0 (21),0.4822159211446382,1.0,3108,64,,,
t50919,7.0,35,5,1.0,1.0,0.125,0.3390836315581632,0.787037037037037,the ice | ICE | Ice | ice | -ice | Ice T | their ice | ice usage | dry ice | crushed ice,10,5,5,D47_140 (1) | D47_397 (1) | D153_911 (1) | D31_121 (1) | D20_49 (1),Polarization0 (3) | Polarization9 (1) | Polarization2 (1),0.787037037037037,1.0,35,16,,,
t796731,7.0,7,1,1.0,1.0,1.0,0.0,1.0,one fan | One fan | one fans | Several fans | several fans | two fans,6,1,1,D8_51 (1),Polarization0 (1),1.0,1.0,7,7,,,
t509652,6.961038961038961,2412,189,0.5454545454545454,1.0,0.0,0.2874239381416426,0.5419260731301753,a decision | Any decision | his decision | the decision | that decision | this decision | The decision | decision | This decision | their decision,10,189,189,D179_910 (1) | D2_171 (1) | D40_54 (1) | D2_27 (1) | D9_44 (1),Polarization6 (29) | Polarization7 (28) | Polarization4 (24) | Polarization8 (18) | Polarization0 (17),0.5419260731301752,1.0,2412,66,,,
t533548,6.937274220032841,160,14,0.6070114942528736,1.0,0.0,0.3374212398049812,0.446039208897,the Church | The Church | that church | the church | a church | churches | a Church | church | his church | Churches,10,14,14,D45_90 (1) | D45_576 (1) | D10_45 (1) | D38_45 (1) | D38_90 (1),Polarization2 (3) | Polarization1 (3) | Polarization7 (3) | Polarization8 (2) | Polarization9 (1),0.446039208897,1.0,160,25,,,
t1039898,6.841115434500647,3014,257,0.5833333333333333,1.0,0.0,0.2854995746570805,0.5720250864244398,19 points | 1.6 points | 0 points | 15 points | just 0.033 points | no point | no points | 14.766 points | This points | 255.594 points,10,257,257,D179_910 (1) | D17_179 (1) | D68_911 (1) | D24_87 (1) | D9_44 (1),Polarization6 (39) | Polarization7 (36) | Polarization9 (31) | Polarization4 (29) | Polarization5 (23),0.5720250864244398,1.0,3014,37,,,
t841639,6.767295597484275,1345,53,0.2666666666666666,1.0,0.0,0.3929396595565768,0.3557891755178023,"hours | an hour | 30+ hours | that hour | 3,800 hours | 24 hours | the hours | 48 hours | up to 22 hours | more than 60 hours",10,53,53,D50_899 (1) | D6_38 (1) | D10_11 (1) | D20_38 (1) | D199_910 (1),Polarization1 (26) | Polarization0 (6) | Polarization6 (6) | Polarization10 (4) | Polarization4 (3),0.3557891755178023,1.0,1345,124,,,
t541127,6.75,9,1,0.75,0.75,0.75,0.0,0.75,the 10-metre air pistol event | 10 metre air pistol event | the 25 metre air pistol event | the 10-metre air pistol shooting event | the 10 metre air pistol shooting event | the 10 metre Air Pistol shooting event | the 10m air pistol event | the 10-meter air pistol event | 10-meter air pistol event | the 10-metre air pistol competition,10,1,1,D2_13 (1),Polarization8 (1),0.75,0.75,9,9,,,
t757749,6.747059785868795,2988,271,0.6119321291735085,1.0,0.0,0.3090849306621574,0.5584285803353837,finals | the finals | the final | the 1/16 finals | The final | the final won | The finals | her own final | Final | the final D,10,271,271,D179_910 (1) | D17_179 (1) | D2_171 (1) | D40_54 (1) | D64_905 (1),Polarization7 (42) | Polarization9 (38) | Polarization6 (34) | Polarization1 (29) | Polarization0 (26),0.5584285803353837,1.0,2988,38,,,
t473743,6.590209147322455,3186,229,0.4736842105263158,1.0,0.0,0.3469525259797156,0.4573499434038224,While some performances | her performance | the performance | a performance | performances | his performance | my performances | their performance | Her performance | his performances,10,229,229,D122_910 (1) | D2_27 (1) | D38_660 (1) | D9_44 (1) | D6_38 (1),Polarization1 (61) | Polarization6 (31) | Polarization4 (30) | Polarization0 (25) | Polarization8 (17),0.45734994340382246,1.0,3186,65,,,
t506482,6.5,13,2,1.0,1.0,1.0,0.0,1.0,"tune | the tunes | the tune | Tune | their own tunes | her tunes | tunes | , just tune | That Tune | his tune",10,2,2,D245_911 (1) | D21_910 (1),Polarization0 (2),1.0,1.0,13,9,,,
t376067,6.154205607476635,2634,214,0.5,1.0,0.0,0.3286507939590493,0.5077736679734225,the Paris | Paris | PARIS | 2025 -Paris | THE PARIS | The Paris | París | --PARIS | the 2024 Paris | More PARIS,10,214,214,D334_910 (1) | D64_905 (1) | D2_27 (1) | D68_911 (1) | D24_87 (1),Polarization1 (36) | Polarization6 (30) | Polarization0 (25) | Polarization9 (20) | Polarization3 (18),0.5077736679734224,1.0,2634,51,,,
t382522,6.111111111111111,22,3,0.8333333333333333,0.8333333333333333,0.0,0.3928371006591931,0.5555555555555555,"revolution | a revolution | the Revolution | revolutions | that revolution | a ""revolution | the revolution | Revolutions | revolutionary uprisings",9,3,3,D10_11 (1) | D10_168 (1) | D21_910 (1),Polarization9 (2) | Polarization1 (1),0.5555555555555555,0.8333333333333333,22,12,,,
t347093,6.066396066396066,1860,182,0.5935935935935935,1.0,0.0,0.2829114347614035,0.5471652104197768,"fourth place | fourth places | Again the fourth place | Fourth place | 4th place | third and fourth places | 29 third places | third place | the third place | ""third places",10,182,182,D2_171 (1) | D40_54 (1) | D9_44 (1) | D19_93 (1) | D10_44 (1),Polarization6 (32) | Polarization9 (30) | Polarization7 (30) | Polarization4 (20) | Polarization0 (14),0.5471652104197768,1.0,1860,30,,,
t957199,6.048611111111111,1742,144,0.5,1.0,0.0,0.3360199510470709,0.4944988117898001,statements | the statement | a statement | any statements | The statements | statement | A statement | The statement | their own statement | his statement,10,144,144,D334_910 (1) | D2_171 (1) | D40_54 (1) | D122_910 (1) | D68_911 (1),Polarization1 (26) | Polarization8 (19) | Polarization3 (15) | Polarization0 (14) | Polarization5 (14),0.49449881178980015,1.0,1742,45,,,
t700797,5.931818181818182,261,22,0.5,1.0,0.0,0.3381819526855239,0.5043449197860963,her voice | a voice | our voices | your voice | my voice | the voice | his voice | their voices | VOICE | the voices,10,22,22,D6_38 (1) | D45_90 (1) | D6_106 (1) | D783_784 (1) | D45_576 (1),Polarization1 (5) | Polarization7 (5) | Polarization0 (4) | Polarization4 (3) | Polarization6 (3),0.5043449197860963,1.0,261,25,,,
t975131,5.883142758142758,510,48,0.5537075537075536,1.0,0.0,0.3675627774322968,0.5481365154536426,"a female | gender | both genders | ""gender | genders | each gender | their gender | the gender | not gender | Gender",10,48,48,D93_186 (1) | D6_38 (1) | D31_70 (1) | D97_102 (1) | D10_376 (1),Polarization1 (11) | Polarization0 (11) | Polarization5 (6) | Polarization8 (6) | Polarization6 (5),0.5481365154536426,1.0,510,35,,,
t125953,5.848024316109422,1443,141,0.5714285714285714,1.0,0.0,0.3083418014283042,0.5443489863951034,the first time | first time | The first time | my first time | the very first time | your first time | his first time | her first time | First time | a first time,10,141,141,D40_54 (1) | D9_44 (1) | D10_44 (1) | D182_910 (1) | D133_910 (1),Polarization7 (22) | Polarization6 (20) | Polarization8 (19) | Polarization1 (19) | Polarization0 (16),0.5443489863951034,1.0,1443,29,,,
