cluster,article_index,title,publication_date,source,url,retrieval_label,retrieval_confidence,strong_hits,support_hits,all_hits_count,snippet,claim_1_text,claim_1_category,claim_1_why,claim_2_text,claim_2_category,claim_2_why,claim_3_text,claim_3_category,claim_3_why,dominant_claim_type_in_article,article_notes,keep_for_case_study
Cluster A - Khelif / gender / eligibility,8821,The woke Olympics: Where men were allowed to punch women * WorldNetDaily * by Dennis Prager,2024-08-13,www.wnd.com,https://www.wnd.com/2024/08/the-woke-olympics-where-men-were-allowed-to-punch-women,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, male, female",14,"ByDennis Prager

August 13, 2024

This past weekend, two biologically male boxers won gold medals in women’s boxing at the Paris Olympics. On Friday, Imane Khelif of Algeria won the gold medal in the women’s welterweight division. On Saturday, Lin Yu-Ting of Taiwan won the gold medal in the women’s featherweight divisi...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2052,Olympic boxing champ Imane Khelif requires gender test to continue fighting | Olympics News | Al Jazeera,2025-05-31,www.aljazeera.com,https://www.aljazeera.com/news/2025/5/31/olympic-boxing-champ-imane-khelif-requires-gender-test-to-continue-fighting,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"World Boxing says Algerian gold medallist must get genetic screening to compete in future events, including Olympics.

Share

Save

Algeria’s Olympic boxing champion Imane Khelifmust undergo genetic sex screening in order to participate in upcoming events,...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2077,Algerian Boxer Imane Khelif Challenges World Boxing Gender Testing at CAS,2025-09-02,www.moroccoworldnews.com,https://www.moroccoworldnews.com/2025/09/257750/algerian-boxer-imane-khelif-challenges-world-boxing-gender-testing-at-cas/,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",13,"Home>International>Algerian Boxer Imane Khelif Challenges World Boxing Gender Testing at CAS

Algerian boxer Imane Khelif, who won gold in the under-66 kg category at the Paris 2024 Olympics, has taken legal action against World Boxing’s new gender testing regulations....",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2104,Imane Khelif wasn't banned from World Boxing Organization | Snopes.com,2025-06-01,www.snopes.com,https://www.snopes.com/fact-check/imane-khelif-wbo/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",13,"About this rating

On May 30, 2025, World Boxing, a different sanctioning body from the World Boxing Organization, announced that Khelif would not be allowed to compete in its events until passing a genetic sex-screening test.

In 2023, hours before her gold medal bout in the Women's World B...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3110,Imane Khelif’s gold medal run shows how sex testing in women’s sports puts regulators in an impossible bind,,theconversation.com,https://theconversation.com/imane-khelifs-gold-medal-run-shows-how-sex-testing-in-womens-sports-puts-regulators-in-an-impossible-bind-236211,high_precision,high,"imane khelif, khelif","boxing, boxer, women boxing, olympic boxing, algeria, eligibility, gender, sex, intersex, male, female",13,"...intment.



Penn Stateprovides funding as a founding partner of The Conversation US.

View all partners

https://doi.org/10.64628/AAI.hma4r5fga

Share article

Print article

With the judges unanimously declaring her the victorover China’s Yang Liu, Algeria’sImane Khelifsecured the gold medal in the women’s boxing 66-kilogram (146-pound) weight class, capping an Olympic run beset with controversy and misinformation.

The saga began during Khelif’s preliminary match, when she delivered a painful...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3112,"Misinformation, abuse and injustice: breaking down the Olympic boxing firestorm",,theconversation.com,https://theconversation.com/misinformation-abuse-and-injustice-breaking-down-the-olympic-boxing-firestorm-236061,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"Professor in Sociology of Sport and Gender, University of Waikato

Research fellow, Swinburne University of Technology

Holly Thorpe has previously received funding from an IOC research programme grant to study youth perceptions of the Olympic Games.

Ryan Storr consults to Proud2Play....",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3125,Imane Khelif is taking the Olympic boxing ring after days of gender outcry,2024-08-03,www.scrippsnews.com,https://www.scrippsnews.com/sports/paris-2024-olympics/imane-khelif-is-taking-the-olympic-boxing-ring-after-days-of-gender-outcry,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, gender test, male, female",13,"Algerian boxer Imane Khelif takes to the ring at the Paris Olympics again Saturday following days of sharp scrutiny and online abuse as misconceptions about her gender have exploded into a larger clash about identity in sports.

Khelif meets Anna Luc...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3126,Olympic boxer Imane Khelif calls for end to bullying over gender misconceptions,2024-08-05,www.scrippsnews.com,https://www.scrippsnews.com/paris-2024-olympics/olympic-boxer-imane-khelif-calls-for-end-to-bullying-after-backlash-over-gender-misconceptions,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, gender test, male, female",13,"Olympic boxer Imane Khelif said the wave of hateful scrutiny she has faced over misconceptions about her gender “harms human dignity,” and she called for an end to bullying athletes after being greatly affected by the international backlash against her.

The...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3144,Human Rights Lawyer: Olympic Boxer’s ‘Cyberbullies’ Lawsuit A Threat To Free Speech - modernity,2024-08-14,modernity.news,https://modernity.news/2024/08/14/human-rights-lawyer-olympic-boxers-cyberbullies-lawsuit-a-threat-to-free-speech/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"...direct to your inbox and other special offers! No more than 2 emails per day max.

You have successfully joined the  m o d e r n i t y  subscriber list. You will receive a newsletter soon!

A human rights lawyer has warned that a lawsuit brought by Algerian Olympic boxer Imane Khelif against the likes of Elon Musk and JK Rowling could set a significant precedent against free speech.

Khelif, who competed andwon a gold medalin the women’s welterweight division, despite having XY chromosomes, is...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,242,Olympic “Christ” Threatens to Sue Critics Over “Last Supper” Backlash – JONATHAN TURLEY,2024-07-31,jonathanturley.org,https://jonathanturley.org/2024/07/31/olympic-christ-threatens-to-sue-critics-over-last-supper-backlash/comment-page-2/#comments,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, biblical, mock, mockery, blasphemy, parody, offend, offensive",16,"Barbara Butch, the LGBTQ activist who was the center figure in the controversial “Last Supper” Paris Olympic scene is threatening to sue those criticizing her. Butch played the role (wearing a Christ-like halo) viewed by many as a spoof on Christ in the Last Supper. The creators insist that they were going for a type of “pagan par...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,512,The Last Supper Mocked At Olympics Opening Ceremony By Drag Queens - Victory Girls Blog,2024-07-27,victorygirlsblog.com,https://victorygirlsblog.com/the-last-supper-mocked-at-olympics-opening-ceremony-by-drag-queens/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, mock, mockery, blasphemy, parody, offend, offensive",14,"The Last Supper Mocked At Olympics Opening Ceremony By Drag Queens

July 27, 2024

In a very jarring note at the Olympics, a group of drag queens enacted a show that literally mockedThe Last Supper.

The 2024 Paris Olympics kicked off Friday with the pro...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,907,Christian faith leaders react to alleged parody of Last Supper at Paris Olympics: 'Grotesque mockery' | Fox News,2024-07-30,www.foxnews.com,https://www.foxnews.com/media/christians-react-apparent-mockery-last-supper-paris-olympics-grotesque-mockery,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, mock, mockery, parody, offend, offensive",14,"...in real-time or delayed by at least 15 minutes. Market data provided byFactset. Powered and implemented byFactSet Digital Solutions.Legal Statement. Mutual Fund and ETF data provided byRefinitiv Lipper.

Bishop Robert Barron reacts to a drag queens parody allegedly mocking Christianity at the 2024 Paris Olympics on 'Fox News Live.'

A series of drag queens who appeared to parody the iconic Leonardo da Vinci painting of ""The Last Supper"" during the opening ceremony of the 2024 Paris Olympic Game...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,8830,"WATCH: Paris Olympics 'sorry' for Last Supper 'offense,' but Christians are not buying it * WorldNetDaily * by Joe Kovacs",2024-07-29,www.wnd.com,https://www.wnd.com/2024/07/watch-paris-olympics-sorry-for-last-supper-offense-but-christians-are-not-buying-it,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religious, faith, biblical, mock, mockery, blasphemy, offend, offensive",14,"ByJoe Kovacs

July 29, 2024



Officials with 2024 Olympic Games in Paris are offering an apology of sorts in connection with their intentional pagan reimagining of Jesus’ Last Supper featuring an obese woman and drag queens, but many Christians are not accepting their sentiment.

“Clearly there was never intention to show disrespect to any religious group. On the contrary, we intended to show tolerance and comm...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,1805,"Drag queen in Olympic opening ceremony has no regrets, calls it ‘a photograph of France in 2024’ – Winnipeg Free Press",2024-08-01,www.winnipegfreepress.com,https://www.winnipegfreepress.com/arts-and-life/entertainment/celebrities/2024/07/31/drag-queen-in-olympic-opening-ceremony-has-no-regrets-calls-it-a-photograph-of-france-in-2024,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, mock, mockery, parody, offend",13,"...ral France, Hugo Bardin never felt he lived in a world that represented who he was — a world in which he had a place.

And that is why Bardin, who performs as the drag queen Paloma, felt it was meaningful and important to be part of a Paris Olympics opening ceremony that presented a multifaceted, multiethnic France with people of different ethnicities and orientations.

“It was a really important moment for the French people and the representation of France around the world,” says Paloma, who to...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,1819,'Grossophobic': LGBT activist whose Olympic stunt ridiculed Christianity threatens to sue critics * WorldNetDaily * by Bob Unruh,2024-07-31,www.wnd.com,https://www.wnd.com/2024/07/grossophobic-lgbt-activist-whose-olympic-stunt-ridiculed-christianity-threatens-to-sue-critics/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, biblical, mock, mockery, blasphemy, offend",13,"ByBob Unruh

July 31, 2024

Barbara Butch, a radical LGBT activist who was part of a stunt at the Paris Olympics opening ceremonies that mocked Christianity, now is threatening to sue those who are criticizing her.

And an American legal expert,constitutional scholar Jonathan Turley,is explaining the anti-free speech laws and conditions in France create a much more conducive atmospher...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,4004,Paris Olympics churns on as Last Supper parody draws intense scrutiny,2026-01-14,www.foxnews.com,https://www.foxnews.com/live-news/2024-summer-olympics-opening-weekend-paris,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religious, faith, biblical, mock, mockery, parody, offend",13,"...he fire,” Omot said.

“Obviously, we felt disrespected when that happened. ... I feel like for us we’ve got to continue to show the world what we’re capable of.”

The Associated Press contributed to this report.



A Paris 2024 official defended the opening ceremony atthe Olympicsamid an uproar over the depiction of The Last Supper during the event.

The ceremony’s segment appeared to resemble a depiction of The Last Supper, famously painted by Leonardo da Vinci. The performance ensemble include...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,37,Olympics 2024: Drag queen in ceremony addresses 'Last Supper' controversy | AP News,2024-07-31,apnews.com,https://apnews.com/article/olympics-2024-opening-ceremony-drag-queen-paloma-80ffb114bd84229d4e2b12506871b443,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, mock, mockery, parody, offend",12,"Copyright 2025 The Associated Press. All Rights Reserved.

Copyright 2025 The Associated Press. All Rights Reserved.

Hugo Bardin, who performs as the drag queen Paloma, felt it was meaningful and important to be part of a Paris Olympics opening ceremony that presented a multifaceted, multi-ethnic France with people of different ethnicities and orientations.

Hugo Bardin who performs as the drag queen Paloma speaks, during an interview with The Associated Press in Paris, France, Wedn...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,113,Crux,2024-07-29,cruxnow.com,https://cruxnow.com/church-in-europe/2024/07/paris-olympic-committee-makes-soft-apology-for-last-supper-drag-parody/,high_precision,high,"opening ceremony, last supper","christian, jesus, religion, religious, faith, biblical, mock, parody, offend, offensive",12,"Drag queen Piche prepares to perform at the Debilly Bridge in Paris during the opening ceremony of the 2024 Summer Olympics, Friday, July 26, 2024. (Credit: Tsvangirayi Mukwazhi/AP.)

ROME – Representatives of the Paris 2024 Olympics Committee have apologized to anyone offended by a drag parody of the Last Supper during the ope...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,375,Paris Olympics Opening Ceremony Hurts Religious Sentiments,2024-07-29,propakistani.pk,https://propakistani.pk/2024/07/29/blasphemous-paris-olympics-opening-ceremony-hurts-religious-sentiments/,high_precision,high,"opening ceremony, last supper","christian, jesus, apostles, religion, religious, faith, mock, mockery, blasphemy, parody",12,"The opening ceremony of theParis Summer Olympicson Friday night ignited a global controversy after featuring a parody of Leonardo Da Vinci’s iconic painting “The Last Supper,” depicted by drag queens. The scene has been criticized by many as “shocking an...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,590,"The Paris Olympics ‘Last Supper,’ the French Revolution and punching down on a Catholic minority - America Magazine",2024-08-06,www.americamagazine.org,https://www.americamagazine.org/politics-society/2024/08/06/paris-olympics-opening-ceremony-last-supper-catholic-french-revolution/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, mock, mockery, blasphemy, offend",12,"America Magazine

The Jesuit Review

It’sdéjà vuall over again. Or at least that’s the way the French Olympic controversy feels. Cultural elites mocking Christian symbols? In France?Sacrébleu!How did they come up with something so original? Drag queens? How transgressive! Only the flabby Smurf was new.

My first reaction to the silhouette of Da Vinci’s “The Last Supper” filled in with a table...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,714,Muslim leaders condemn ‘disgraceful’ Olympics scene: It ‘offended us as much as them’ | Catholic News Agency,2024-07-30,www.catholicnewsagency.com,https://www.catholicnewsagency.com/news/258450/muslim-leaders-condemn-disgraceful-olympics-scene-it-offended-us-as-much-as-them,high_precision,high,"opening ceremony, last supper","christian, jesus, apostles, religion, religious, faith, mock, parody, offend, offensive",12,"ByKate Quiñones

CNA Staff, Jul 30, 2024 /
            16:22 pm

Top government officials in Iran and Turkey, along with other Muslim religious figures, are speaking out against the drag-queen-led parody of the Last Supper at the Paris Olympics opening ceremony that shocked Christians and others across the world.

The supreme leader of Iran, Ayatollah Ali Khamenei, condemned the “i...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,716,Catholic bishops around the world demand IOC formal apology for ‘blasphemous’ Olympic opening | Catholic News Agency,2024-08-02,www.catholicnewsagency.com,https://www.catholicnewsagency.com/news/258469/catholic-bishops-demand-ioc-formal-apology-for-blasphemous-olympic-opening,high_precision,high,"opening ceremony, last supper","christian, jesus, religious, faith, mock, mockery, blasphemy, parody, offend, offensive",12,"...wsroom, Aug 2, 2024 /
            09:00 am

In a strongly worded open letter, Catholic cardinals and bishops from around the world are calling on the International Olympic Committee (IOC) to “repudiate” and “apologize” for the “intentionally hateful mockery”of the Last Supperduring the opening ceremony of the Paris 2024 Olympics.

In addition, “the undersigned commit to a day of prayer and fasting in reparation for this blasphemy.”

The letter was signed by three cardinals and 24 bishops as of F...",,,,,,,,,,,,
Cluster B - Opening Ceremony / Christianity,760,"Drag queen in Olympic opening ceremony has no regrets, calls it ‘a photograph of France in 2024’",2024-07-31,www.click2houston.com,https://www.click2houston.com/entertainment/2024/07/31/drag-queen-in-olympic-opening-ceremony-has-no-regrets-calls-it-a-photograph-of-france-in-2024/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, mock, mockery, parody, offend",12,"...tral France, Hugo Bardin never felt he lived in a world that represented who he was — a world in which he had a place.

And that is why Bardin, who performs as the drag queen Paloma, felt it was meaningful and important to be part ofa Paris Olympics opening ceremonythat presented a multifaceted, multiethnic France with people of different ethnicities and orientations.

Recommended Videos

“It was a really important moment for the French people and the representation of France around the world,”...",,,,,,,,,,,,
