article_index,title,publication_date,source,url,label,confidence,strong_hits,support_hits,all_hits_count,snippet
8816,"Olympics – the thrill of victory, the agony of diversity * WorldNetDaily * by Chuck Norris",2024-08-05,www.wnd.com,https://www.wnd.com/2024/08/olympics-the-thrill-of-victory-the-agony-of-diversity,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",14,"...y.”

(I encourage you subscribe and read the latest edition of theWhistleblower, “America’s All-Out Religious War,” which details many other anti-religious incidents in society like the above.)

The second Olympic fracture last week erupted when the Algerian boxer Imane Khelif, who was deemed to have male XY chromosomes (be biologically male) thoughregistered as a woman,won a fight in just 46 secondsin the 66-kilogram women’s division againstItaly’s Angela Carini.

Within 30 seconds, Carini was..."
8821,The woke Olympics: Where men were allowed to punch women * WorldNetDaily * by Dennis Prager,2024-08-13,www.wnd.com,https://www.wnd.com/2024/08/the-woke-olympics-where-men-were-allowed-to-punch-women,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, male, female",14,"ByDennis Prager

August 13, 2024

This past weekend, two biologically male boxers won gold medals in women’s boxing at the Paris Olympics. On Friday, Imane Khelif of Algeria won the gold medal in the women’s welterweight division. On Saturday, Lin Yu-Ting of Taiwan won the gold medal in the women’s featherweight divisi..."
2052,Olympic boxing champ Imane Khelif requires gender test to continue fighting | Olympics News | Al Jazeera,2025-05-31,www.aljazeera.com,https://www.aljazeera.com/news/2025/5/31/olympic-boxing-champ-imane-khelif-requires-gender-test-to-continue-fighting,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"World Boxing says Algerian gold medallist must get genetic screening to compete in future events, including Olympics.

Share

Save

Algeria’s Olympic boxing champion Imane Khelifmust undergo genetic sex screening in order to participate in upcoming events,..."
2077,Algerian Boxer Imane Khelif Challenges World Boxing Gender Testing at CAS,2025-09-02,www.moroccoworldnews.com,https://www.moroccoworldnews.com/2025/09/257750/algerian-boxer-imane-khelif-challenges-world-boxing-gender-testing-at-cas/,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",13,"Home>International>Algerian Boxer Imane Khelif Challenges World Boxing Gender Testing at CAS

Algerian boxer Imane Khelif, who won gold in the under-66 kg category at the Paris 2024 Olympics, has taken legal action against World Boxing’s new gender testing regulations...."
2104,Imane Khelif wasn't banned from World Boxing Organization | Snopes.com,2025-06-01,www.snopes.com,https://www.snopes.com/fact-check/imane-khelif-wbo/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",13,"About this rating

On May 30, 2025, World Boxing, a different sanctioning body from the World Boxing Organization, announced that Khelif would not be allowed to compete in its events until passing a genetic sex-screening test.

In 2023, hours before her gold medal bout in the Women's World B..."
3110,Imane Khelif’s gold medal run shows how sex testing in women’s sports puts regulators in an impossible bind,,theconversation.com,https://theconversation.com/imane-khelifs-gold-medal-run-shows-how-sex-testing-in-womens-sports-puts-regulators-in-an-impossible-bind-236211,high_precision,high,"imane khelif, khelif","boxing, boxer, women boxing, olympic boxing, algeria, eligibility, gender, sex, intersex, male, female",13,"...intment.



Penn Stateprovides funding as a founding partner of The Conversation US.

View all partners

https://doi.org/10.64628/AAI.hma4r5fga

Share article

Print article

With the judges unanimously declaring her the victorover China’s Yang Liu, Algeria’sImane Khelifsecured the gold medal in the women’s boxing 66-kilogram (146-pound) weight class, capping an Olympic run beset with controversy and misinformation.

The saga began during Khelif’s preliminary match, when she delivered a painful..."
3112,"Misinformation, abuse and injustice: breaking down the Olympic boxing firestorm",,theconversation.com,https://theconversation.com/misinformation-abuse-and-injustice-breaking-down-the-olympic-boxing-firestorm-236061,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"Professor in Sociology of Sport and Gender, University of Waikato

Research fellow, Swinburne University of Technology

Holly Thorpe has previously received funding from an IOC research programme grant to study youth perceptions of the Olympic Games.

Ryan Storr consults to Proud2Play...."
3125,Imane Khelif is taking the Olympic boxing ring after days of gender outcry,2024-08-03,www.scrippsnews.com,https://www.scrippsnews.com/sports/paris-2024-olympics/imane-khelif-is-taking-the-olympic-boxing-ring-after-days-of-gender-outcry,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, gender test, male, female",13,"Algerian boxer Imane Khelif takes to the ring at the Paris Olympics again Saturday following days of sharp scrutiny and online abuse as misconceptions about her gender have exploded into a larger clash about identity in sports.

Khelif meets Anna Luc..."
3126,Olympic boxer Imane Khelif calls for end to bullying over gender misconceptions,2024-08-05,www.scrippsnews.com,https://www.scrippsnews.com/paris-2024-olympics/olympic-boxer-imane-khelif-calls-for-end-to-bullying-after-backlash-over-gender-misconceptions,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, gender test, male, female",13,"Olympic boxer Imane Khelif said the wave of hateful scrutiny she has faced over misconceptions about her gender “harms human dignity,” and she called for an end to bullying athletes after being greatly affected by the international backlash against her.

The..."
3144,Human Rights Lawyer: Olympic Boxer’s ‘Cyberbullies’ Lawsuit A Threat To Free Speech - modernity,2024-08-14,modernity.news,https://modernity.news/2024/08/14/human-rights-lawyer-olympic-boxers-cyberbullies-lawsuit-a-threat-to-free-speech/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"...direct to your inbox and other special offers! No more than 2 emails per day max.

You have successfully joined the  m o d e r n i t y  subscriber list. You will receive a newsletter soon!

A human rights lawyer has warned that a lawsuit brought by Algerian Olympic boxer Imane Khelif against the likes of Elon Musk and JK Rowling could set a significant precedent against free speech.

Khelif, who competed andwon a gold medalin the women’s welterweight division, despite having XY chromosomes, is..."
3678,IOC saddened by 'aggression' against boxers over Paris Olympics gender row,2024-08-02,www.rappler.com,https://www.rappler.com/sports/boxing/ioc-saddened-aggression-against-boxers-paris-olympics-gender-row,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, algeria, algerian, eligibility, gender, sex, male, female",13,"SUMMARY

This is AI generated summarization, which may have errors. For context, always refer to the full article.

Imane Khelif of Algeria is seen ahead of her fight against Angela Carini of Italy. in the Paris 2024 Olympics, women's boxing prelims North Paris Arena, Villepinte, France August 01, 2024.

REUTERS/Isabel Infantes

PARIS, France – The International O..."
5208,"Women's World Champion Speaks on Embattled Olympic Boxer, Somehow Makes Situation Even Worse | The Gateway Pundit | by C. Douglas Golden, The Western Journal",2024-08-04,www.thegatewaypundit.com,https://www.thegatewaypundit.com/2024/08/womens-world-champion-speaks-embattled-olympic-boxer-somehow,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, male, female",13,"Skye Nicolson, the women’s featherwheight boxing world champion, has come to the defense of embattled Algerian boxer Imane Khelif — and somehow managed to make her situation look even worse.

The Australian Nicolson, who has gone pro, will not be competing in the 2024 Paris Games, but she ha..."
5209,"Olympics Committee Defends its Decision to Allow Two Boxers with Male DNA to Compete at Women's Boxing: ""Every Person Has the Right to Practice Sport Without Discrimination"" | The Gateway Pundit | by Jim Hᴏft",2024-08-02,www.thegatewaypundit.com,https://www.thegatewaypundit.com/2024/08/olympics-committee-defends-its-decision-allow-two-boxers,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, gender test, male, female",13,"The Olympics is marred with controversy after allowing two boxers —Taiwanese Lin Yu-Ting and Algerian Imane Khelif — who have been disqualified by the International Boxing Association (IBA) for failing gender eligibility tests, to compete in the women’s category at the Paris 2024 Olympics.

During the Olympi..."
5281,Journalist Peter Badel says boxer Imane Khelif should not be in the Paris Olympics after previously failing gender eligibility test | Sky News Australia,2024-08-02,www.skynews.com.au,https://www.skynews.com.au/world-news/journalist-peter-badel-says-boxer-imane-khelif-should-not-be-in-the-paris-olympics-after-previously-failing-gender-eligibility-test/news-story/18744ddebbdc16eb16cd923a4ab60855,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",13,"A journalist who was in person to witness the 46-second fight between Algerian boxer Imane Khelif and Italian Angela Carini has revealed the ""simple"" reason why the former should not have been allowed to compete, saying the International Olympic Committee should be ""ashamed"".

An Australian journalist has slammed the I..."
6629,British Olympian calls for 'once in a lifetime sex tests' for all female athletes | Other | Sport | Express.co.uk,2024-08-07,www.express.co.uk,https://www.express.co.uk/sport/othersport/1933048/Olympics-2024-sex-tests,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",13,"FormerTeam GBswimmer Sharron Davies has called for 'once in a lifetime' sex tests for all female athletes amid the ongoing gender debate at the ParisOlympics.

Davies, who won silver at the 1980 Olympic Games in Moscow, has been a vocal proponent of more vigorous gender testing, taking a bold stance in the row surroundin..."
6676,Olympics news: Adam Peaty out of mixed relay final as Imane Khelif issues gender statement | Other | Sport | Express.co.uk,2024-08-03,www.express.co.uk,https://www.express.co.uk/sport/othersport/1931602/olympics-live-imane-khelif-judge-team-gb,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",13,"..., who was pacing up and down while awaiting the score of American Stephen Nedoroscik,which eventually pushed him out of podium contention.

Ireland's Rhys McClenaghan bagged a superb gold to elation inside the Bercy Arena, with a score of 15.533.



Algerian female boxer Imane Khelf has guaranteed herself at least a bronze medalafter a unanimous points victory over Hungary's Luca Anna Hamori.

Khelif, who failed a gender eligibility test last year and has been a subject of contention in Paris, w..."
7205,"""This is not a man fighting a woman"": Olympics boxing controversy ignites conservative culture war - Salon.com",2024-08-02,www.salon.com,https://www.salon.com/2024/08/02/olympics-boxing-controversy-gender,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, sex, intersex, male, female",13,"Another controversy has engulfed the 2024 ParisOlympicsbut this time it involves gender and boxing.

False allegations have been swirling around conservative media outlets and online spaces that Algerian boxer Imane Khelif is a transgender woman in the women's competition. Right-wing conservative figures likeDonald Trump,Elon Mus..."
7729,What is DSD? The condition at the heart of Imane Khelif boxing gender test | The Standard,2024-08-07,www.standard.co.uk,https://www.standard.co.uk/sport/sport-olympics/what-is-dsd-boxing-imane-khelif-gender-scandal-paris-olympics-2024-intersex-b1174430.html,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",13,"To use the search feature, we need your consent to load Google Custom Search, which may use cookies or similar technologies. Please click 'Allow and Continue' below to enable search. See our privacy policy for more information.

Sport|Olympics

Imane Khelif, the Algerian boxer at the centre of theParis Olympics’genderrow, willfight for gold after winning her semi-final.

Khelif found herself in the midst of controversy last Thursday when Italian fighter Angela Cariniabandoned her boutwith K..."
2047,Algerian boxer Imane Khelif clinches medal at Olympics after gender outcry | Euronews,2024-08-03,www.euronews.com,https://www.euronews.com/my-europe/2024/08/03/algerian-boxer-imane-khelif-clinches-medal-at-olympics-after-gender-outcry,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, male, female",12,"...imate facts from the world’s leading source, analyse the trends and explain how our planet is changing. We meet the experts on the front line of climate change who explore new strategies to mitigate and adapt.

After days of misconceptions about her gender, Algerian female boxer Imane Khelif clinched a medal at the Paris Olympics on Saturday in an emotional fight.

She took down Anna Luca Hamori of Hungary 5:0 in the quarter-finals of the women’s 66-kilogram division. Khelif will now win at leas..."
2051,Algerian boxer Imane Khelif says she's 'never stayed down' and vows to fight back after lawsuit | AP News,2025-02-12,apnews.com,https://apnews.com/article/0158bd8e65bad684bbc028a505fcc4ad,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, sex, male, female",12,"Copyright 2025 The Associated Press. All Rights Reserved.

Copyright 2025 The Associated Press. All Rights Reserved.

Algeria’s Imane Khelif, right, looks at Italy’s Angela Carini, following their women’s 66kg preliminary boxing match at the 2024 Summer Olympics, Thursday, Aug. 1, 2024, in Paris, France. (AP Photo/John Locher, File)



PARIS (AP) —Algeria boxer Iman..."
2057,Algerian boxer Imane Khelif becomes target of Olympics gender row | Paris Olympics 2024 News | Al Jazeera,2024-08-02,www.aljazeera.com,https://www.aljazeera.com/news/2024/8/2/algerian-boxer-imane-khelif-becomes-target-of-gender-row-at-olympics,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",12,"The fighter under scrutiny won her opening bout when opponent Angela Carini from Italy quits after 46 seconds.

Share

Save

Algerian boxer Imane Khelif’s 46-second victory at the Paris Olympics has ignited a heated debate over gender eligibility rules with global public figures and sporting bodies weighing in.

Italian boxer Angela Carini abandoned the match against Kheli..."
2084,Olympic Boxer Imane Khelif Files Complaint Over Online Harassment,2024-08-12,variety.com,https://variety.com/2024/tv/global/olympics-imane-khelif-boxer-complaint-harassment-gender-controversy-1236103878/,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, male, female",12,"ByElsa Keslassy

International Correspondent

Imane Khelif, the Algerian boxer who won the Olympic gold medal in the women’s boxing 66-kilogram division, has filed a complaint overonline harassmentin Paris.

During her run at theOlympics, the 25-year-old athlete was bullied on social media after..."
2093,After the show: what happened next to Olympic gender row boxers? | Boxing | The Guardian,2024-12-28,www.theguardian.com,https://www.theguardian.com/sport/2024/dec/28/after-the-show-what-happened-next-to-olympic-gender-row-boxers,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",12,"Imane Khelif and Lin Yu-ting won historic gold medals in Paris, but the future of both fighters remain in doubt

It was the full hero’s welcome for Imane Khelif on her return home from Paris to Algiers. An open-topped bus parade on a humid evening th..."
2097,Olympic gold medalist Imane Khelif challenges gender test mandate - CBS News,2025-09-01,www.cbsnews.com,https://www.cbsnews.com/news/olympic-gold-medalist-imane-khelif-challenges-gender-test-mandate/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, gender test, male, female",12,"Watch CBS News

September 1, 2025 / 12:42 PM EDT/ CBS/AFP

Olympic champion boxerImane Khelifis challenging theglobal boxing federation's decision to mandate gender testingto determine the eligibility of male and female boxers.

In May, World Boxing said Khelif, an Algerian boxer, would be banned from all World Boxing compet..."
2101,Boxing: Olympic champion Imane Khelif challenges gender test | RNZ News,2025-09-02,rnz.co.nz,https://rnz.co.nz/news/sport/571744/boxing-olympic-champion-imane-khelif-challenges-gender-test,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",12,"Gold medallist Algeria's Imane Khelif.Photo:Mauro Pimentel / AFP

Algerian boxer Imane Khelif, at the centre of a row at the 2024 Paris Olympics, has turned to sport's top court to attempt to overturn the introduction of a gender test, the court said on Monday.

Th..."
2109,Imane Khelif and Lin Yu-ting: What does science tell us about boxing’s gender row in Olympics?,2024-08-09,www.bbc.com,https://www.bbc.com/news/articles/crlr8gp813ko,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, algeria, algerian, eligibility, gender, sex, male, female",12,"Listen to Sofia read this article

Images of the Algerian boxer Imane Khelif and Taiwan’s Lin Yu-ting on the medal podium in Paris will go down as some of the most unforgettable of the 2024 Olympics.

A frenzied debate has raged over the International Olympic Committee clearing the duo to compete i..."
2113,Angela Carini abandons Olympic fight after 46 seconds against Imane Khelif | Paris Olympic Games 2024 | The Guardian,2024-08-01,www.theguardian.com,https://www.theguardian.com/sport/article/2024/aug/01/angela-carini-abandons-fight-after-46-seconds-against-imane-khelif,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",12,"The Italian boxer Angela Carini broke down in tears after she abandoned her bout against the Algerian Imane Khelif after 46 seconds in a fight that sparked huge controversy at the Olympics.

Khelif is one of two boxers permitted to fight at the Olympics despite..."
2114,JK Rowling and Elon Musk named in Imane Khelif cyberbullying lawsuit | France | The Guardian,2024-08-14,www.theguardian.com,https://www.theguardian.com/technology/article/2024/aug/14/jk-rowling-and-elon-musk-named-in-imane-khelif-cyberbullying-lawsuit,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, intersex, male, female",12,"Algerian Olympic champion boxer files criminal complaint in France against X over alleged ‘cyber-harassment’

JK Rowling and Elon Musk have been named in a cyberbullying lawsuit filed in France by the Olympic champion boxer Imane Khelif.

Khelif, who..."
2117,Hungarians protest over Khelif bout as Olympic boxing gender row escalates | Paris Olympic Games 2024 | The Guardian,2024-08-02,www.theguardian.com,https://www.theguardian.com/sport/article/2024/aug/02/boxing-olympics-lisa-nandy-imane-khelif-lin-yu-ting,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, male, female",12,"The HungarianBoxingAssociation has protested to the International Olympic Committee over its decision to allow the Algerian fighter Imane Khelif to compete at Paris 2024, before her quarter-final bout with one of its boxers.

The Hungarian fighter Anna Luca Hamor..."
2118,Sharron Davies encourages Khelif and Lin’s opponents to challenge defeats | Paris Olympic Games 2024 | The Guardian,2024-08-08,www.theguardian.com,https://www.theguardian.com/sport/article/2024/aug/08/sharron-davies-imane-khelif-lin-yu-ting-paris-2024-olympics-boxing,high_precision,high,"imane khelif, khelif","boxing, boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",12,"The former Olympic swimmer Sharron Davies has encouraged the women beaten by the two boxers embroiled in the Olympics gender eligibility row to challenge the results of their bouts.

Imane Khelif, from Algeria, and Lin Yu-ting, representing Chinese Taipei (Taiwan), will both fight for gold in their weight classes with controversy sti..."
3124,Olympic boxing champion Imane Khelif filed legal complaint over harassment,2024-08-11,www.scrippsnews.com,https://www.scrippsnews.com/sports/paris-2024-olympics/olympic-boxing-champion-imane-khelif-filed-a-legal-complaint-for-online-harassment-against-her,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, eligibility, gender, sex, male, female",12,"Olympic boxing champion Imane Khelif has filed a legal complaint in France for online harassment after a rain of criticism and false claims about her sex during the Paris Olympics, her lawyer said Sunday.

Khelif, who will be Algeria's flag bearer in..."
